reward : 0.00  ; episode length:150
reward : 1.00  ; episode length:1
reward : 1.00  ; episode length:1
reward : 1.00  ; episode length:1
reward : 1.00  ; episode length:1
reward : 1.00  ; episode length:1
reward : 1.00  ; episode length:1
reward : 1.00  ; episode length:1
reward : 1.00  ; episode length:1
reward : 1.00  ; episode length:1
reward : 1.00  ; episode length:1
reward : 1.00  ; episode length:1
reward : 1.00  ; episode length:1
reward : 1.00  ; episode length:1
reward : 1.00  ; episode length:1
reward : 1.00  ; episode length:1
reward : 1.00  ; episode length:1
reward : 1.00  ; episode length:1
reward : 1.00  ; episode length:1
reward : 1.00  ; episode length:1
reward : 1.00  ; episode length:1
reward : 1.00  ; episode length:1
reward : 1.00  ; episode length:1
reward : 1.00  ; episode length:1
reward : 1.00  ; episode length:1
reward : 1.00  ; episode length:1
reward : 1.00  ; episode length:1
reward : 1.00  ; episode length:1
reward : 1.00  ; episode length:1
reward : 1.00  ; episode length:1
reward : 1.00  ; episode length:1
reward : 1.00  ; episode length:1
reward : 1.00  ; episode length:1
reward : 1.00  ; episode length:1
reward : 1.00  ; episode length:1
reward : 1.00  ; episode length:1
reward : 1.00  ; episode length:1
reward : 1.00  ; episode length:1
reward : 1.00  ; episode length:1
reward : 1.00  ; episode length:1
reward : 1.00  ; episode length:1
reward : 1.00  ; episode length:1
reward : 1.00  ; episode length:1
reward : 1.00  ; episode length:1
reward : 1.00  ; episode length:1
reward : 1.00  ; episode length:1
reward : 1.00  ; episode length:1
reward : 1.00  ; episode length:1
reward : 1.00  ; episode length:1
reward : 1.00  ; episode length:1
reward : 1.00  ; episode length:1
reward : 1.00  ; episode length:1
reward : 1.00  ; episode length:1
reward : 1.00  ; episode length:1
reward : 1.00  ; episode length:1
reward : 1.00  ; episode length:1
reward : 1.00  ; episode length:1
reward : 1.00  ; episode length:1
reward : 1.00  ; episode length:1
reward : 1.00  ; episode length:1
reward : 1.00  ; episode length:1
reward : 1.00  ; episode length:1
reward : 1.00  ; episode length:1
reward : 1.00  ; episode length:1
reward : 1.00  ; episode length:1
reward : 1.00  ; episode length:1
reward : 1.00  ; episode length:1
reward : 1.00  ; episode length:1
reward : 1.00  ; episode length:1
reward : 1.00  ; episode length:1
reward : 1.00  ; episode length:1
reward : 1.00  ; episode length:1
reward : 1.00  ; episode length:1
reward : 1.00  ; episode length:1
reward : 1.00  ; episode length:1
reward : 1.00  ; episode length:1
reward : 1.00  ; episode length:1
reward : 1.00  ; episode length:1
reward : 1.00  ; episode length:1
reward : 1.00  ; episode length:1
reward : 1.00  ; episode length:1
reward : 1.00  ; episode length:1
reward : 1.00  ; episode length:1
reward : 1.00  ; episode length:1
reward : 1.00  ; episode length:1
reward : 1.00  ; episode length:1
reward : 1.00  ; episode length:1
reward : 1.00  ; episode length:1
reward : 1.00  ; episode length:1
reward : 1.00  ; episode length:1
reward : 1.00  ; episode length:1
reward : 1.00  ; episode length:1
reward : 1.00  ; episode length:1
reward : 1.00  ; episode length:1
reward : 1.00  ; episode length:1
reward : 1.00  ; episode length:1
reward : 1.00  ; episode length:1
reward : 1.00  ; episode length:1
reward : 1.00  ; episode length:1
reward : 1.00  ; episode length:1
reward : 1.00  ; episode length:1
reward : 1.00  ; episode length:1
reward : 1.00  ; episode length:1
reward : 1.00  ; episode length:1
reward : 1.00  ; episode length:1
reward : 1.00  ; episode length:1
reward : 1.00  ; episode length:1
reward : 1.00  ; episode length:1
reward : 1.00  ; episode length:1
reward : 1.00  ; episode length:1
reward : 1.00  ; episode length:1
reward : 1.00  ; episode length:1
reward : 1.00  ; episode length:1
reward : 1.00  ; episode length:1
reward : 1.00  ; episode length:1
reward : 1.00  ; episode length:1
reward : 1.00  ; episode length:1
reward : 1.00  ; episode length:1
reward : 1.00  ; episode length:1
reward : 1.00  ; episode length:1
reward : 1.00  ; episode length:1
reward : 1.00  ; episode length:1
reward : 1.00  ; episode length:1
reward : 1.00  ; episode length:1
reward : 1.00  ; episode length:1
reward : 1.00  ; episode length:1
reward : 1.00  ; episode length:1
reward : 1.00  ; episode length:1
reward : 1.00  ; episode length:1
reward : 1.00  ; episode length:1
reward : 1.00  ; episode length:1
reward : 1.00  ; episode length:1
reward : 1.00  ; episode length:1
reward : 1.00  ; episode length:1
reward : 1.00  ; episode length:1
reward : 1.00  ; episode length:1
reward : 1.00  ; episode length:1
reward : 1.00  ; episode length:1
reward : 1.00  ; episode length:1
reward : 1.00  ; episode length:1
reward : 1.00  ; episode length:1
reward : 1.00  ; episode length:1
reward : 1.00  ; episode length:1
reward : 1.00  ; episode length:1
reward : 1.00  ; episode length:1
reward : 1.00  ; episode length:1
reward : 1.00  ; episode length:1
reward : 1.00  ; episode length:1
reward : 1.00  ; episode length:1
reward : 1.00  ; episode length:1
reward : 1.00  ; episode length:1
reward : 1.00  ; episode length:1
reward : 1.00  ; episode length:1
reward : 1.00  ; episode length:1
reward : 1.00  ; episode length:1
reward : 1.00  ; episode length:1
reward : 1.00  ; episode length:1
reward : 1.00  ; episode length:1
reward : 1.00  ; episode length:1
reward : 1.00  ; episode length:1
reward : 1.00  ; episode length:1
reward : 1.00  ; episode length:1
reward : 1.00  ; episode length:1
reward : 1.00  ; episode length:1
reward : 1.00  ; episode length:1
reward : 1.00  ; episode length:1
reward : 1.00  ; episode length:1
reward : 1.00  ; episode length:1
reward : 1.00  ; episode length:1
reward : 1.00  ; episode length:1
reward : 1.00  ; episode length:1
reward : 1.00  ; episode length:1
reward : 1.00  ; episode length:1
reward : 1.00  ; episode length:1
reward : 1.00  ; episode length:1
reward : 1.00  ; episode length:1
reward : 1.00  ; episode length:1
reward : 1.00  ; episode length:1
reward : 1.00  ; episode length:1
reward : 1.00  ; episode length:1
reward : 1.00  ; episode length:1
reward : 1.00  ; episode length:1
reward : 1.00  ; episode length:1
reward : 1.00  ; episode length:1
reward : 1.00  ; episode length:1
reward : 1.00  ; episode length:1
reward : 1.00  ; episode length:1
reward : 1.00  ; episode length:1
reward : 1.00  ; episode length:1
reward : 1.00  ; episode length:1
reward : 1.00  ; episode length:1
reward : 1.00  ; episode length:1
reward : 1.00  ; episode length:1
reward : 1.00  ; episode length:1
reward : 1.00  ; episode length:1
reward : 1.00  ; episode length:1
reward : 1.00  ; episode length:1
reward : 1.00  ; episode length:1
reward : 1.00  ; episode length:1
reward : 1.00  ; episode length:1
reward : 1.00  ; episode length:1
reward : 1.00  ; episode length:1
reward : 1.00  ; episode length:1
reward : 1.00  ; episode length:1
reward : 1.00  ; episode length:1
reward : 1.00  ; episode length:1
reward : 1.00  ; episode length:1
reward : 1.00  ; episode length:1
reward : 1.00  ; episode length:1
reward : 1.00  ; episode length:1
reward : 1.00  ; episode length:1
reward : 1.00  ; episode length:1
reward : 1.00  ; episode length:1
reward : 1.00  ; episode length:1
reward : 1.00  ; episode length:1
reward : 1.00  ; episode length:1
reward : 1.00  ; episode length:1
reward : 1.00  ; episode length:1
reward : 1.00  ; episode length:1
reward : 1.00  ; episode length:1
